Z (um),Deflection (um)
0.15,-0.014361
0.1499,-0.014329
0.1498,-0.014341
0.1497,-0.014335
0.1496,-0.014355
0.1495,-0.014364
0.1494,-0.014349
0.1493,-0.014344
0.1492,-0.014355
0.1491,-0.014341
0.149,-0.014364
0.1489,-0.014347
0.1488,-0.014344
0.1487,-0.014347
0.1486,-0.014364
0.1485,-0.014338
0.1484,-0.014355
0.1483,-0.014367
0.1482,-0.014344
0.1481,-0.014338
0.148,-0.014344
0.1479,-0.014341
0.1478,-0.014375
0.1477,-0.014367
0.1476,-0.014347
0.1475,-0.014375
0.1474,-0.014326
0.1473,-0.014309
0.1472,-0.014324
0.1471,-0.014344
0.147,-0.014375
0.1469,-0.01437
0.1468,-0.01439
0.1467,-0.014372
0.1466,-0.014361
0.1465,-0.014341
0.1464,-0.014332
0.1463,-0.01437
0.1462,-0.014384
0.1461,-0.014358
0.146,-0.014364
0.1459,-0.014341
0.1458,-0.014335
0.1457,-0.014361
0.1456,-0.014387
0.1455,-0.01439
0.1454,-0.014347
0.1453,-0.014384
0.1452,-0.014401
0.1451,-0.014401
0.145,-0.014413
0.1449,-0.01437
0.1448,-0.01437
0.1447,-0.014364
0.1446,-0.01439
0.1445,-0.01443
0.1444,-0.01443
0.1443,-0.01439
0.1442,-0.014341
0.1441,-0.014395
0.144,-0.01441
0.1439,-0.01439
0.1438,-0.014413
0.1437,-0.01443
0.1436,-0.014421
0.1435,-0.014421
0.1434,-0.014427
0.1433,-0.014401
0.1432,-0.014416
0.1431,-0.014421
0.143,-0.014407
0.1429,-0.014404
0.1428,-0.014421
0.1427,-0.014433
0.1426,-0.014407
0.1425,-0.014378
0.1424,-0.014378
0.1423,-0.014375
0.1422,-0.014378
0.1421,-0.014364
0.142,-0.014364
0.1419,-0.014407
0.1418,-0.014401
0.1417,-0.014384
0.1416,-0.014372
0.1415,-0.014358
0.1414,-0.014375
0.1413,-0.014401
0.1412,-0.014421
0.1411,-0.014418
0.141,-0.01443
0.1409,-0.014372
0.1408,-0.014401
0.1407,-0.014418
0.1406,-0.01441
0.1405,-0.014418
0.1404,-0.014473
0.1403,-0.014442
0.1402,-0.014421
0.1401,-0.014421
0.14,-0.01443
0.1399,-0.014427
0.1398,-0.014433
0.1397,-0.014424
0.1396,-0.014413
0.1395,-0.014407
0.1394,-0.014424
0.1393,-0.014418
0.1392,-0.014387
0.1391,-0.014364
0.139,-0.014375
0.1389,-0.014407
0.1388,-0.014404
0.1387,-0.014384
0.1386,-0.01439
0.1385,-0.01439
0.1384,-0.014347
0.1383,-0.01437
0.1382,-0.014361
0.1381,-0.014387
0.138,-0.014416
0.1379,-0.014413
0.1378,-0.014395
0.1377,-0.014387
0.1376,-0.014364
0.1375,-0.01441
0.1374,-0.01441
0.1373,-0.014447
0.1372,-0.014444
0.1371,-0.014462
0.137,-0.01443
0.1369,-0.014444
0.1368,-0.014433
0.1367,-0.014424
0.1366,-0.014427
0.1365,-0.014378
0.1364,-0.01439
0.1363,-0.014421
0.1362,-0.014456
0.1361,-0.014442
0.136,-0.014416
0.1359,-0.014421
0.1358,-0.014404
0.1357,-0.014418
0.1356,-0.014467
0.1355,-0.014442
0.1354,-0.014459
0.1353,-0.014456
0.1352,-0.014439
0.1351,-0.01445
0.135,-0.014479
0.1349,-0.01447
0.1348,-0.01449
0.1347,-0.014488
0.1346,-0.014453
0.1345,-0.014447
0.1344,-0.014413
0.1343,-0.014427
0.1342,-0.014436
0.1341,-0.014424
0.134,-0.014404
0.1339,-0.014418
0.1338,-0.014442
0.1337,-0.014439
0.1336,-0.014433
0.1335,-0.014404
0.1334,-0.014401
0.1333,-0.014404
0.1332,-0.014384
0.1331,-0.014395
0.133,-0.014418
0.1329,-0.014421
0.1328,-0.014444
0.1327,-0.014479
0.1326,-0.014473
0.1325,-0.014444
0.1324,-0.014465
0.1323,-0.014447
0.1322,-0.014447
