Z (um),Deflection (um)
0.145,-0.012119
0.14485,-0.012131
0.1447,-0.012108
0.14455,-0.012117
0.1444,-0.012128
0.14425,-0.012122
0.1441,-0.012091
0.14395,-0.012096
0.1438,-0.012091
0.14365,-0.012079
0.1435,-0.012073
0.14335,-0.012085
0.1432,-0.012071
0.14305,-0.012079
0.1429,-0.012108
0.14275,-0.012091
0.1426,-0.012134
0.14245,-0.012091
0.1423,-0.012082
0.14215,-0.012102
0.142,-0.012114
0.14185,-0.012125
0.1417,-0.012119
0.14155,-0.01216
0.1414,-0.012096
0.14125,-0.012076
0.1411,-0.012111
0.14095,-0.012079
0.1408,-0.012117
0.14065,-0.012099
0.1405,-0.012117
0.14035,-0.012142
0.1402,-0.012085
0.14005,-0.012128
0.1399,-0.012157
0.13975,-0.012148
0.1396,-0.012154
0.13945,-0.012134
0.1393,-0.012137
0.13915,-0.012131
0.139,-0.012082
0.13885,-0.012076
0.1387,-0.012125
0.13855,-0.012128
0.1384,-0.012094
0.13825,-0.012111
0.1381,-0.012085
0.13795,-0.012102
0.1378,-0.012053
0.13765,-0.012096
0.1375,-0.012036
0.13735,-0.012085
0.1372,-0.012111
0.13705,-0.012119
0.1369,-0.012111
0.13675,-0.012105
0.1366,-0.012125
0.13645,-0.012108
0.1363,-0.012108
0.13615,-0.012085
0.136,-0.012088
0.13585,-0.012122
0.1357,-0.01214
0.13555,-0.012157
0.1354,-0.012134
0.13525,-0.012134
0.1351,-0.012125
0.13495,-0.012122
0.1348,-0.012108
0.13465,-0.012117
0.1345,-0.012114
0.13435,-0.012111
0.1342,-0.012117
0.13405,-0.012134
0.1339,-0.012119
0.13375,-0.012079
0.1336,-0.012128
0.13345,-0.012151
0.1333,-0.012154
0.13315,-0.012166
0.133,-0.012171
0.13285,-0.01214
0.1327,-0.012122
0.13255,-0.01214
0.1324,-0.01214
0.13225,-0.012154
0.1321,-0.012145
0.13195,-0.012114
0.1318,-0.012137
0.13165,-0.012122
0.1315,-0.012137
0.13135,-0.012131
0.1312,-0.01216
0.13105,-0.012117
0.1309,-0.012128
0.13075,-0.01216
0.1306,-0.012154
0.13045,-0.012157
0.1303,-0.012151
0.13015,-0.012134
0.13,-0.012163
0.12985,-0.012191
0.1297,-0.012191
0.12955,-0.012174
0.1294,-0.012163
0.12925,-0.01216
0.1291,-0.012163
0.12895,-0.012177
0.1288,-0.012203
0.12865,-0.012171
0.1285,-0.012166
0.12835,-0.012183
0.1282,-0.012174
0.12805,-0.012171
0.1279,-0.012163
0.12775,-0.012189
0.1276,-0.012171
0.12745,-0.01216
0.1273,-0.012174
0.12715,-0.012163
0.127,-0.012168
0.12685,-0.0122
0.1267,-0.012197
0.12655,-0.012203
0.1264,-0.012151
0.12625,-0.012151
0.1261,-0.012174
0.12595,-0.012148
0.1258,-0.012166
0.12565,-0.0122
0.1255,-0.012183
0.12535,-0.012151
0.1252,-0.012191
0.12505,-0.012166
0.1249,-0.01218
0.12475,-0.012154
0.1246,-0.012183
0.12445,-0.012209
0.1243,-0.012174
0.12415,-0.012189
0.124,-0.012174
0.12385,-0.012197
0.1237,-0.012197
0.12355,-0.012186
0.1234,-0.012183
0.12325,-0.012142
0.1231,-0.012163
0.12295,-0.012174
0.1228,-0.012174
0.12265,-0.012166
0.1225,-0.012154
0.12235,-0.012166
0.1222,-0.012174
0.12205,-0.012171
0.1219,-0.012145
0.12175,-0.01216
0.1216,-0.012189
0.12145,-0.012171
0.1213,-0.012191
0.12115,-0.012171
0.121,-0.012166
0.12085,-0.012174
0.1207,-0.012203
0.12055,-0.012177
0.1204,-0.012171
0.12025,-0.012148
0.1201,-0.012114
0.11995,-0.012174
0.1198,-0.012194
0.11965,-0.012177
0.1195,-0.012183
0.11935,-0.012206
0.1192,-0.012209
0.11905,-0.012194
0.1189,-0.01218
0.11875,-0.012191
0.1186,-0.012203
0.11845,-0.012166
0.1183,-0.012189
0.11815,-0.012203
0.118,-0.0122
0.11785,-0.012197
0.1177,-0.0122
0.11755,-0.012183
0.1174,-0.012166
0.11725,-0.012171
0.1171,-0.012154
0.11695,-0.012177
0.1168,-0.012189
0.11665,-0.0122
0.1165,-0.012191
0.11635,-0.012191
0.1162,-0.012183
0.11605,-0.012191
0.1159,-0.012217
0.11575,-0.012206
0.1156,-0.012212
0.11545,-0.012203
0.1153,-0.012183
0.11515,-0.012171
0.115,-0.012183
0.11485,-0.012189
0.1147,-0.012186
0.11455,-0.012177
0.1144,-0.012197
0.11425,-0.012191
0.1141,-0.012183
0.11395,-0.012154
0.1138,-0.012189
0.11365,-0.012171
0.1135,-0.012197
0.11335,-0.012186
0.1132,-0.012217
0.11305,-0.012206
0.1129,-0.012203
0.11275,-0.012206
0.1126,-0.01222
0.11245,-0.012206
0.1123,-0.012186
0.11215,-0.0122
0.112,-0.0122
0.11185,-0.012191
0.1117,-0.012223
0.11155,-0.012203
0.1114,-0.012232
0.11125,-0.012226
0.1111,-0.012237
0.11095,-0.012232
0.1108,-0.012226
0.11065,-0.012252
0.1105,-0.012217
0.11035,-0.012223
0.1102,-0.012194
0.11005,-0.0122
0.1099,-0.012223
0.10975,-0.012232
0.1096,-0.012226
0.10945,-0.012223
0.1093,-0.012229
0.10915,-0.012223
0.109,-0.012186
0.10885,-0.012223
0.1087,-0.01224
0.10855,-0.012223
0.1084,-0.012229
0.10825,-0.01224
0.1081,-0.012252
0.10795,-0.012246
0.1078,-0.012226
0.10765,-0.0122
0.1075,-0.012203
0.10735,-0.012223
0.1072,-0.012223
0.10705,-0.012206
0.1069,-0.01224
0.10675,-0.012223
0.1066,-0.012223
0.10645,-0.012206
0.1063,-0.012214
0.10615,-0.01224
0.106,-0.012206
0.10585,-0.012226
0.1057,-0.012243
0.10555,-0.012272
0.1054,-0.012232
