Date			25.10.2024 11.07.21
Id			sweepZ_map 33/Nf
Index			0
Xpos			51.951
Ypos			60.22
Points			1602
Passes			2
Hname			Z
Vname			Nf
Hunits			nm
Vunits			a.u.

97			-3773.19
96.875			-3772.76
96.75			-3773.21
96.625			-3770.74
96.5			-3772.52
96.375			-3772.81
96.25			-3773.02
96.125			-3769.9
96			-3768.95
95.875			-3768.62
95.75			-3768.64
95.625			-3768.62
95.5			-3766.57
95.375			-3765.67
95.25			-3766.19
95.125			-3765.43
95			-3765.71
94.875			-3764.26
94.75			-3766.07
94.625			-3764.52
94.5			-3765.6
94.375			-3766.4
94.25			-3769.33
94.125			-3766.83
94			-3765.98
93.875			-3764.52
93.75			-3763.76
93.625			-3766
93.5			-3763.1
93.375			-3762.81
93.25			-3761.69
93.125			-3760.88
93			-3761.38
92.875			-3763.07
92.75			-3762.24
92.625			-3762.93
92.5			-3762.76
92.375			-3761.93
92.25			-3760.69
92.125			-3759.31
92			-3760.36
91.875			-3760.57
91.75			-3758.1
91.625			-3758.33
91.5			-3758.86
91.375			-3760.76
91.25			-3757.83
91.125			-3758.17
91			-3757.38
90.875			-3757.19
90.75			-3757.29
90.625			-3754.83
90.5			-3757.52
90.375			-3758.31
90.25			-3755.81
90.125			-3755.17
90			-3753.71
89.875			-3754.1
89.75			-3753.67
89.625			-3753.62
89.5			-3752.86
89.375			-3752.81
89.25			-3751.33
89.125			-3751.33
89			-3750.95
88.875			-3753.17
88.75			-3755.12
88.625			-3754.36
88.5			-3754.02
88.375			-3754.45
88.25			-3751.9
88.125			-3753.67
88			-3752.95
87.875			-3753.79
87.75			-3753.43
87.625			-3751.48
87.5			-3749.55
87.375			-3748.69
87.25			-3750.31
87.125			-3750.62
87			-3749.93
86.875			-3750
86.75			-3748.93
86.625			-3748.48
86.5			-3749.57
86.375			-3750.83
86.25			-3751.07
86.125			-3750.5
86			-3749.83
85.875			-3749.5
85.75			-3748.43
85.625			-3750.55
85.5			-3749.76
85.375			-3751.62
85.25			-3749.45
85.125			-3747.76
85			-3748.98
84.875			-3749.62
84.75			-3746.98
84.625			-3744.95
84.5			-3745.81
84.375			-3746.62
84.25			-3746.07
84.125			-3744.93
84			-3746.36
83.875			-3746.14
83.75			-3746.43
83.625			-3745.55
83.5			-3744.93
83.375			-3743.98
83.25			-3744.36
83.125			-3745.29
83			-3744.14
82.875			-3746.05
82.75			-3744.74
82.625			-3742.24
82.5			-3741.64
82.375			-3743.71
82.25			-3741.31
82.125			-3744.5
82			-3743.21
81.875			-3743.05
81.75			-3745.12
81.625			-3745.48
81.5			-3745.07
81.375			-3745.07
81.25			-3747.1
81.125			-3745.62
81			-3743
80.875			-3744.52
80.75			-3744.52
80.625			-3742.64
80.5			-3741.6
80.375			-3742.36
80.25			-3742.14
80.125			-3740.98
80			-3741.57
79.875			-3740.9
79.75			-3741.69
79.625			-3742.74
79.5			-3741.1
79.375			-3742.76
79.25			-3744.55
79.125			-3743.98
79			-3742.31
78.875			-3741.86
78.75			-3742.14
78.625			-3740.19
78.5			-3741.45
78.375			-3742.31
78.25			-3743.88
78.125			-3743.17
78			-3743.79
77.875			-3744.12
77.75			-3741.69
77.625			-3742.38
77.5			-3741.98
77.375			-3741.9
77.25			-3742.67
77.125			-3742.64
77			-3741.24
76.875			-3740.76
76.75			-3740.07
76.625			-3741.95
76.5			-3741.36
76.375			-3740.57
76.25			-3741.43
76.125			-3740.5
76			-3739.31
75.875			-3739.79
75.75			-3738.69
75.625			-3738.57
75.5			-3739.67
75.375			-3737.9
75.25			-3737.48
75.125			-3737.17
75			-3735.88
74.875			-3736.93
74.75			-3736.5
74.625			-3738.57
74.5			-3738
74.375			-3736.26
74.25			-3736.07
74.125			-3736.6
74			-3736.62
73.875			-3736.9
73.75			-3736.71
73.625			-3738.4
73.5			-3737.29
73.375			-3738.33
73.25			-3737.57
73.125			-3736.02
73			-3736.12
72.875			-3736.05
72.75			-3736.79
72.625			-3737.05
72.5			-3735.21
72.375			-3736.29
72.25			-3736.33
72.125			-3736.57
72			-3737.76
71.875			-3736.12
71.75			-3735.36
71.625			-3734.9
71.5			-3733.83
71.375			-3733.6
71.25			-3733.95
71.125			-3731.55
71			-3731.95
70.875			-3732
70.75			-3732.45
70.625			-3732.29
70.5			-3731.55
70.375			-3734.1
70.25			-3733.88
70.125			-3734.5
70			-3734.6
69.875			-3732.76
69.75			-3733.6
69.625			-3735.17
69.5			-3732.19
69.375			-3732.9
69.25			-3733.67
69.125			-3735
69			-3732.98
68.875			-3732.19
68.75			-3732.24
68.625			-3734.1
68.5			-3732.21
68.375			-3735.4
68.25			-3734.9
68.125			-3736.48
68			-3737.83
67.875			-3739.86
67.75			-3740.98
67.625			-3743.98
67.5			-3744.67
67.375			-3743.36
67.25			-3744.43
67.125			-3747.14
67			-3753.62
66.875			-3754.62
66.75			-3756.12
66.625			-3755.81
66.5			-3757.14
66.375			-3759.81
66.25			-3759.02
66.125			-3762.52
66			-3764.6
65.875			-3764.69
65.75			-3766.14
65.625			-3765.38
65.5			-3768.33
65.375			-3768.79
65.25			-3770.71
65.125			-3774.45
65			-3775.71
64.875			-3775.57
64.75			-3777.12
64.625			-3779.33
64.5			-3780.67
64.375			-3780.86
64.25			-3783.83
64.125			-3782.76
64			-3790.6
63.875			-3796.33
63.75			-3798.31
63.625			-3799.52
63.5			-3799.38
63.375			-3798.19
63.25			-3802.86
63.125			-3804.33
63			-3815.81
62.875			-3816.29
62.75			-3823.88
62.625			-3839.05
62.5			-3857.88
62.375			-3865.14
62.25			-3869.02
62.125			-3884.17
62			-3888.48
61.875			-3891.88
61.75			-3896.17
61.625			-3900.48
61.5			-3903.76
61.375			-3908.6
61.25			-3917.24
61.125			-3922.86
61			-3935.12
60.875			-3943.88
60.75			-3949.79
60.625			-3963.1
60.5			-3968.93
60.375			-3973.29
60.25			-3977.07
60.125			-3987.1
60			-3994.21
59.875			-4014.24
59.75			-4031.6
59.625			-4040.21
59.5			-4046.05
59.375			-4053.12
59.25			-4063.57
59.125			-4071.71
59			-4078.26
58.875			-4082
58.75			-4085.86
58.625			-4088.95
58.5			-4095.31
58.375			-4097.43
58.25			-4102.95
58.125			-4106.21
58			-4118.05
57.875			-4125.05
57.75			-4138.33
57.625			-4143.38
57.5			-4146.76
57.375			-4151.79
57.25			-4157.36
57.125			-4161.81
57			-4166.4
56.875			-4180.33
56.75			-4184.76
56.625			-4189
56.5			-4193.19
56.375			-4196.93
56.25			-4203.62
56.125			-4207.86
56			-4210.07
55.875			-4216.05
55.75			-4226.14
55.625			-4230.69
55.5			-4235.1
55.375			-4238.5
55.25			-4240.38
55.125			-4246.52
55			-4249.83
54.875			-4254.67
54.75			-4267.14
54.625			-4272.67
54.5			-4275.33
54.375			-4280.26
54.25			-4283.79
54.125			-4285.36
54			-4286.71
53.875			-4288.55
53.75			-4291.93
53.625			-4294.5
53.5			-4296.05
53.375			-4298.24
53.25			-4300.43
53.125			-4302.74
53			-4307.45
52.875			-4324.95
52.75			-4323.93
52.625			-4326.95
52.5			-4328.17
52.375			-4331.02
52.25			-4332.57
52.125			-4334.95
52			-4336.67
51.875			-4338.12
51.75			-4337.21
51.625			-4339.6
51.5			-4347.64
51.375			-4354.88
51.25			-4357.14
51.125			-4359.31
51			-4363.4
50.875			-4380.24
50.75			-4386.1
50.625			-4396.57
50.5			-4398.33
50.375			-4396.86
50.25			-4399.71
50.125			-4399.24
50			-4396.38
49.875			-4397.33
49.75			-4398.83
49.625			-4398.31
49.5			-4397.62
49.375			-4398.45
49.25			-4400.9
49.125			-4399.29
49			-4397.95
48.875			-4396.55
48.75			-4394.29
48.625			-4390.9
48.5			-4389.43
48.375			-4386.95
48.25			-4386.69
48.125			-4385.33
48			-4384.29
47.875			-4382.5
47.75			-4381.1
47.625			-4379
47.5			-4374.88
47.375			-4371.69
47.25			-4370.83
47.125			-4367.81
47			-4364.07
46.875			-4364.57
46.75			-4360.21
46.625			-4358.19
46.5			-4353.83
46.375			-4353.62
46.25			-4352.55
46.125			-4357
46			-4356.79
45.875			-4351.45
45.75			-4348.71
45.625			-4345.95
45.5			-4342.57
45.375			-4338.98
45.25			-4335.93
45.125			-4330.9
45			-4342.43
44.875			-4338.57
44.75			-4335.93
44.625			-4329.93
44.5			-4326.5
44.375			-4321.95
44.25			-4319.07
44.125			-4314.07
44			-4311.1
43.875			-4305.9
43.75			-4301.26
43.625			-4297.95
43.5			-4292.07
43.375			-4288.76
43.25			-4284.19
43.125			-4278.21
43			-4272.86
42.875			-4264.45
42.75			-4261.33
42.625			-4257.83
42.5			-4248.76
42.375			-4242.95
42.25			-4237.21
42.125			-4230.55
42			-4221.86
41.875			-4217.19
41.75			-4210.93
41.625			-4221.64
41.5			-4218.64
41.375			-4212.24
41.25			-4204.86
41.125			-4199.88
41			-4194.95
40.875			-4188.43
40.75			-4182.79
40.625			-4176.57
40.5			-4169.4
40.375			-4163
40.25			-4152.64
40.125			-4146.36
40			-4139.76
39.875			-4133.19
39.75			-4125.29
39.625			-4118.36
39.5			-4108.26
39.375			-4105.55
39.25			-4095.24
39.125			-4085.57
39			-4078.57
38.875			-4072.67
38.75			-4061.64
38.625			-4054.52
38.5			-4046.64
38.375			-4038.52
38.25			-4031.57
38.125			-4023.31
38			-4013.64
37.875			-4003.07
37.75			-4002.86
37.625			-3998.9
37.5			-3990.83
37.375			-3985.9
37.25			-3976.71
37.125			-3968.19
37			-3959.71
36.875			-3949.69
36.75			-3941.21
36.625			-3931.88
36.5			-3921.93
36.375			-3914.19
36.25			-3905.5
36.125			-3898.45
36			-3887.83
35.875			-3879.74
35.75			-3872.24
35.625			-3861.1
35.5			-3849.88
35.375			-3843.02
35.25			-3834.88
35.125			-3827.52
35			-3815.19
34.875			-3804.48
34.75			-3794.95
34.625			-3785.4
34.5			-3776.83
34.375			-3767.88
34.25			-3755.14
34.125			-3743.19
34			-3735
33.875			-3726.62
33.75			-3716.95
33.625			-3705.02
33.5			-3695.48
33.375			-3685.02
33.25			-3677.02
33.125			-3667.6
33			-3658.31
32.875			-3646.43
32.75			-3635.57
32.625			-3629.1
32.5			-3619.45
32.375			-3609.93
32.25			-3599.17
32.125			-3587.4
32			-3578.5
31.875			-3567.88
31.75			-3559.43
31.625			-3547.36
31.5			-3533.79
31.375			-3520.67
31.25			-3511.6
31.125			-3502.79
31			-3496
30.875			-3484.26
30.75			-3475.83
30.625			-3463.79
30.5			-3452.29
30.375			-3439.95
30.25			-3430.81
30.125			-3420.57
30			-3409.9
29.875			-3400.38
29.75			-3389.02
29.625			-3377.48
29.5			-3365.31
29.375			-3354.4
29.25			-3344.57
29.125			-3332.83
29			-3320.79
28.875			-3312.33
28.75			-3301.79
28.625			-3289.48
28.5			-3279.57
28.375			-3268.88
28.25			-3258.17
28.125			-3245.43
28			-3234.45
27.875			-3223.88
27.75			-3215.74
27.625			-3204.12
27.5			-3194.4
27.375			-3184.52
27.25			-3169.88
27.125			-3160.76
27			-3151.93
26.875			-3139.57
26.75			-3129.71
26.625			-3115.19
26.5			-3103.74
26.375			-3094.81
26.25			-3086.19
26.125			-3075.95
26			-3065.52
25.875			-3053.38
25.75			-3043.31
25.625			-3034.86
25.5			-3030.17
25.375			-3018.12
25.25			-3008
25.125			-2997.26
25			-2982.93
24.875			-2972.6
24.75			-2963.98
24.625			-2953.14
24.5			-2942.17
24.375			-2932.05
24.25			-2923.93
24.125			-2912.43
24			-2903.98
23.875			-2892.55
23.75			-2881.26
23.625			-2870.24
23.5			-2859.81
23.375			-2851.17
23.25			-2842.17
23.125			-2829.45
23			-2818.24
22.875			-2807.02
22.75			-2798.17
22.625			-2788.98
22.5			-2775.55
22.375			-2764.88
22.25			-2756.9
22.125			-2746.71
22			-2737.02
21.875			-2726.07
21.75			-2718.12
21.625			-2708.26
21.5			-2696.48
21.375			-2684.64
21.25			-2677.07
21.125			-2667.76
21			-2657.31
20.875			-2647.95
20.75			-2641.07
20.625			-2627.9
20.5			-2618.38
20.375			-2605.02
20.25			-2596.74
20.125			-2584.62
20			-2579.45
19.875			-2567.57
19.75			-2558.86
19.625			-2549.95
19.5			-2541.69
19.375			-2530.52
19.25			-2521.31
19.125			-2510.62
19			-2499.26
18.875			-2487.95
18.75			-2476.64
18.625			-2464.26
18.5			-2456.67
18.375			-2445.6
18.25			-2438.69
18.125			-2429.33
18			-2422.69
17.875			-2410.4
17.75			-2400.86
17.625			-2394.52
17.5			-2382.33
17.375			-2370.9
17.25			-2365.48
17.125			-2355.48
17			-2347.38
16.875			-2334.93
16.75			-2324.52
16.625			-2315.1
16.5			-2305.6
16.375			-2294.79
16.25			-2280.83
16.125			-2272.74
16			-2264.5
15.875			-2255.88
15.75			-2246.64
15.625			-2237
15.5			-2226
15.375			-2215.14
15.25			-2203.12
15.125			-2192.62
15			-2181.21
14.875			-2170.83
14.75			-2160.83
14.625			-2153.62
14.5			-2140.45
14.375			-2128.31
14.25			-2115.62
14.125			-2104.57
14			-2096.05
13.875			-2084.71
13.75			-2076.05
13.625			-2064.81
13.5			-2055.33
13.375			-2043.17
13.25			-2033.67
13.125			-2019.36
13			-2009.93
12.875			-2000.38
12.75			-1984.31
12.625			-1972.93
12.5			-1960.81
12.375			-1953.33
12.25			-1935.69
12.125			-1922.45
12			-1915.55
11.875			-1905.31
11.75			-1894.43
11.625			-1880.12
11.5			-1868.9
11.375			-1855.71
11.25			-1846.64
11.125			-1835.57
11			-1825.24
10.875			-1808.21
10.75			-1795.88
10.625			-1782.02
10.5			-1774.26
10.375			-1757.98
10.25			-1747.67
10.125			-1732.1
10			-1723.31
9.875			-1708.93
9.75			-1701.67
9.625			-1684.98
9.5			-1673.43
9.375			-1658.67
9.25			-1646.12
9.125			-1631.07
9			-1614.79
8.875			-1599.71
8.75			-1584.38
8.625			-1572.81
8.5			-1558.02
8.375			-1539.52
8.25			-1524.64
8.125			-1513.12
8			-1495.69
7.875			-1480.81
7.75			-1464.9
7.625			-1451
7.5			-1434.21
7.375			-1415.55
7.25			-1398.6
7.125			-1382.64
7			-1364.69
6.875			-1349
6.75			-1328.79
6.625			-1313.05
6.5			-1291.95
6.375			-1275.26
6.25			-1258.29
6.125			-1240.86
6			-1216.5
5.875			-1201.1
5.75			-1182.4
5.625			-1164.1
5.5			-1139.17
5.375			-1116.69
5.25			-1094.83
5.125			-1074.24
5			-1051.83
4.875			-1028.76
4.75			-1003.48
4.625			-977.786
4.5			-951.548
4.375			-928.405
4.25			-904.024
4.125			-880.595
4			-854.214
3.875			-826.762
3.75			-800.214
3.625			-772.762
3.5			-745.143
3.375			-716.405
3.25			-687.357
3.125			-657.286
3			-626.333
2.875			-598.381
2.75			-567.286
2.625			-532.595
2.5			-496.429
2.375			-460.929
2.25			-432.69
2.125			-395.238
2			-361.31
1.875			-324.762
1.75			-300.429
1.625			-263.19
1.5			-233.262
1.375			-192.024
1.25			-160.5
1.125			-124.143
1			-91.6905
0.875			-53.9762
0.75			-19.7619
0.625			22.381
0.5			54.5
0.375			92.8333
0.25			127.19
0.125			172.095
0			207.357
-0.125			247.976
-0.25			281.333
-0.375			322.238
-0.5			361.5
-0.625			401.452
-0.75			436.714
-0.875			477.214
-1			518.976
-1.125			559.071
-1.25			600
-1.375			639.429
-1.5			675.476
-1.625			717.929
-1.75			759.952
-1.875			804.81
-2			842.452
-2.125			881.048
-2.25			921.286
-2.375			964.738
-2.5			1004.14
-2.625			1042.1
-2.75			1085.1
-2.875			1127.9
-3			1173.31
-3			1189
-2.875			1146.14
-2.75			1105.83
-2.625			1063.71
-2.5			1022.67
-2.375			981.905
-2.25			940.071
-2.125			894.5
-2			847.786
-1.875			806.524
-1.75			763.81
-1.625			720.881
-1.5			673.381
-1.375			626.881
-1.25			583.071
-1.125			544.357
-1			500.857
-0.875			456.452
-0.75			411.476
-0.625			363.952
