Date			25.10.2024 11.07.21
Id			sweepZ_map 33/Nf
Index			0
Xpos			51.951
Ypos			60.22
Points			1602
Passes			2
Hname			Z
Vname			Nf
Hunits			nm
Vunits			a.u.

97			-3767.78
96.875			-3767.44
96.75			-3768.19
96.625			-3770.11
96.5			-3770.56
96.375			-3769.56
96.25			-3768.11
96.125			-3769.69
96			-3769.5
95.875			-3768.83
95.75			-3768.81
95.625			-3770.31
95.5			-3769.97
95.375			-3768.58
95.25			-3767.92
95.125			-3767.89
95			-3768.31
94.875			-3769.14
94.75			-3769.36
94.625			-3770.78
94.5			-3771.33
94.375			-3773.81
94.25			-3773.78
94.125			-3773.28
94			-3773.06
93.875			-3774.14
93.75			-3774.33
93.625			-3773.69
93.5			-3771.75
93.375			-3771.61
93.25			-3774.19
93.125			-3776.44
93			-3774.06
92.875			-3774.92
92.75			-3774.61
92.625			-3774.47
92.5			-3774.56
92.375			-3774.17
92.25			-3773.36
92.125			-3773.08
92			-3772.14
91.875			-3772.75
91.75			-3774.75
91.625			-3775.17
91.5			-3775.28
91.375			-3775.22
91.25			-3774.44
91.125			-3774.86
91			-3775.44
90.875			-3776.44
90.75			-3777.83
90.625			-3776.75
90.5			-3774.53
90.375			-3772.67
90.25			-3772.22
90.125			-3776.42
90			-3774.94
89.875			-3775.64
89.75			-3776.22
89.625			-3776.28
89.5			-3778.28
89.375			-3779.22
89.25			-3777.53
89.125			-3777.03
89			-3778.61
88.875			-3778.5
88.75			-3777.89
88.625			-3779.58
88.5			-3779.58
88.375			-3779.86
88.25			-3780.19
88.125			-3779.89
88			-3779.47
87.875			-3777.53
87.75			-3778.33
87.625			-3778.78
87.5			-3777.53
87.375			-3779.25
87.25			-3779.28
87.125			-3780.53
87			-3781.06
86.875			-3781.78
86.75			-3781.94
86.625			-3780.36
86.5			-3778.22
86.375			-3779.06
86.25			-3779.56
86.125			-3779.94
86			-3778.69
85.875			-3777.39
85.75			-3777.44
85.625			-3778.61
85.5			-3780.19
85.375			-3780.83
85.25			-3779.75
85.125			-3777.94
85			-3775.28
84.875			-3777.25
84.75			-3778.08
84.625			-3777.17
84.5			-3777.39
84.375			-3777.97
84.25			-3780.83
84.125			-3782.22
84			-3782
83.875			-3781.11
83.75			-3781.28
83.625			-3780.25
83.5			-3781.56
83.375			-3781.28
83.25			-3780.39
83.125			-3779.11
83			-3779.89
82.875			-3779.39
82.75			-3781.83
82.625			-3784.11
82.5			-3781.64
82.375			-3779.33
82.25			-3780.92
82.125			-3780.25
82			-3780.94
81.875			-3781.83
81.75			-3782.61
81.625			-3781.31
81.5			-3782.28
81.375			-3782.36
81.25			-3781.97
81.125			-3781.53
81			-3781.89
80.875			-3784.67
80.75			-3786.86
80.625			-3785.92
80.5			-3786.11
80.375			-3785.97
80.25			-3787.22
80.125			-3786.47
80			-3786.31
79.875			-3785.92
79.75			-3785.75
79.625			-3784.86
79.5			-3784.69
79.375			-3784.47
79.25			-3785.47
79.125			-3785.06
79			-3784.39
78.875			-3784.39
78.75			-3785.14
78.625			-3785.36
78.5			-3786.25
78.375			-3787.11
78.25			-3787.25
78.125			-3786.33
78			-3785.44
77.875			-3785.33
77.75			-3786.94
77.625			-3785.61
77.5			-3789.14
77.375			-3788
77.25			-3786.08
77.125			-3786.28
77			-3786.78
76.875			-3787.67
76.75			-3787
76.625			-3788.14
76.5			-3789.31
76.375			-3788.83
76.25			-3788.58
76.125			-3787.11
76			-3788.97
75.875			-3787.92
75.75			-3787.92
75.625			-3789.78
75.5			-3789.53
75.375			-3790.33
75.25			-3792.03
75.125			-3791.14
75			-3790.33
74.875			-3790.33
74.75			-3791.25
74.625			-3790.83
74.5			-3789.86
74.375			-3791.47
74.25			-3793.36
74.125			-3792.56
74			-3792.97
73.875			-3793.5
73.75			-3792.78
73.625			-3793.53
73.5			-3792.47
73.375			-3792.53
73.25			-3792.97
73.125			-3791.19
73			-3792.78
72.875			-3793.5
72.75			-3791.78
72.625			-3794.03
72.5			-3793.97
72.375			-3793.81
72.25			-3793.78
72.125			-3795.17
72			-3796.14
71.875			-3795.97
71.75			-3796.78
71.625			-3795.69
71.5			-3796.53
71.375			-3797.06
71.25			-3797.03
71.125			-3796.42
71			-3796.89
70.875			-3797.17
70.75			-3798.72
70.625			-3798.22
70.5			-3804.5
70.375			-3812.47
70.25			-3818.58
70.125			-3820.56
70			-3819.64
69.875			-3820.44
69.75			-3820.33
69.625			-3826.83
69.5			-3835.14
69.375			-3835.06
69.25			-3833.78
69.125			-3835.97
69			-3840.81
68.875			-3841.69
68.75			-3844.58
68.625			-3852.11
68.5			-3860.17
68.375			-3864.42
68.25			-3865.19
68.125			-3864.19
68			-3864.75
67.875			-3866.03
67.75			-3868.81
67.625			-3877.94
67.5			-3876.72
67.375			-3877.22
67.25			-3879.14
67.125			-3880.08
67			-3881.56
66.875			-3882.83
66.75			-3884.17
66.625			-3884.89
66.5			-3882.44
66.375			-3885.08
66.25			-3886.83
66.125			-3888.06
66			-3888.36
65.875			-3889.39
65.75			-3889.97
65.625			-3893.61
65.5			-3896.11
65.375			-3898.78
65.25			-3901.92
65.125			-3903.47
65			-3906.42
64.875			-3917.06
64.75			-3920.53
64.625			-3922.56
64.5			-3923.14
64.375			-3924
64.25			-3926.44
64.125			-3926.75
64			-3928.03
63.875			-3928.5
63.75			-3929.14
63.625			-3929.53
63.5			-3931.44
63.375			-3931.25
63.25			-3932.61
63.125			-3934.64
63			-3946.86
62.875			-3974.67
62.75			-3977.44
62.625			-3979.06
62.5			-3980.42
62.375			-3982.81
62.25			-3986
62.125			-3987.61
62			-3988.22
61.875			-3988.06
61.75			-3990.22
61.625			-3990.86
61.5			-3991.33
61.375			-4003.56
61.25			-4012.06
61.125			-4015.69
61			-4023.22
60.875			-4058.33
60.75			-4074.75
60.625			-4084.44
60.5			-4087.81
60.375			-4088.94
60.25			-4091.97
60.125			-4105
60			-4110.36
59.875			-4113.81
59.75			-4114.31
59.625			-4115.5
59.5			-4118.22
59.375			-4125.97
59.25			-4153.97
59.125			-4173.44
59			-4178.86
58.875			-4189.28
58.75			-4204.03
58.625			-4207.25
58.5			-4210.28
58.375			-4214.53
58.25			-4217.47
58.125			-4220.28
58			-4231.56
57.875			-4240.75
57.75			-4251.25
57.625			-4260.86
57.5			-4277.11
57.375			-4297.06
57.25			-4300.61
57.125			-4303.92
57			-4317.89
56.875			-4323.17
56.75			-4327.86
56.625			-4329.53
56.5			-4335.25
56.375			-4337.58
56.25			-4339.28
56.125			-4341.75
56			-4343.97
55.875			-4350.69
55.75			-4373.14
55.625			-4377.42
55.5			-4381.75
55.375			-4385.56
55.25			-4384.97
55.125			-4388.53
55			-4392.72
54.875			-4402.42
54.75			-4409.06
54.625			-4412.31
54.5			-4428.61
54.375			-4432.5
54.25			-4434.92
54.125			-4437.08
54			-4441.11
53.875			-4440.92
53.75			-4441.89
53.625			-4445.47
53.5			-4461.5
53.375			-4467.42
53.25			-4484.56
53.125			-4488.83
53			-4490.94
52.875			-4490.17
52.75			-4491.06
52.625			-4494.67
52.5			-4494.11
52.375			-4497.14
52.25			-4497.92
52.125			-4498.67
52			-4498.36
51.875			-4500.72
51.75			-4502.11
51.625			-4503.39
51.5			-4504.58
51.375			-4502.25
51.25			-4502.28
51.125			-4507.11
51			-4513.36
50.875			-4513.28
50.75			-4512.47
50.625			-4512.06
50.5			-4516.39
50.375			-4516.83
50.25			-4513.72
50.125			-4514.47
50			-4513.5
49.875			-4510.83
49.75			-4509.28
49.625			-4509.42
49.5			-4509.03
49.375			-4508.19
49.25			-4507.36
49.125			-4506.25
49			-4504.14
48.875			-4501.83
48.75			-4511.81
48.625			-4527.58
48.5			-4531.94
48.375			-4530.47
48.25			-4527.89
48.125			-4525.17
48			-4521.75
47.875			-4519.31
47.75			-4520.33
47.625			-4516.36
47.5			-4514.81
47.375			-4512.61
47.25			-4510.47
47.125			-4508.75
47			-4509.69
46.875			-4503.86
46.75			-4500.78
46.625			-4497.31
46.5			-4494.78
46.375			-4491.94
46.25			-4488.17
46.125			-4483.86
46			-4479.75
45.875			-4477.19
45.75			-4473.22
45.625			-4471.28
45.5			-4465.64
45.375			-4461.67
45.25			-4458.11
45.125			-4454.83
45			-4445.94
44.875			-4441.97
44.75			-4437.39
44.625			-4430.67
44.5			-4427.58
44.375			-4425.36
44.25			-4419.08
44.125			-4416.28
44			-4410.17
43.875			-4403.03
43.75			-4395.86
43.625			-4391.75
43.5			-4384.92
43.375			-4382.19
43.25			-4375.28
43.125			-4369.72
43			-4362.5
42.875			-4356.92
42.75			-4347.72
42.625			-4343.33
42.5			-4333.47
42.375			-4327.61
42.25			-4321.44
42.125			-4314.53
42			-4309.11
41.875			-4303.19
41.75			-4295.56
41.625			-4288.56
41.5			-4280.25
41.375			-4273.69
41.25			-4265.86
41.125			-4258.72
41			-4248.25
40.875			-4240.56
40.75			-4232.19
40.625			-4225.47
40.5			-4217.75
40.375			-4211.19
40.25			-4202.11
40.125			-4194.86
40			-4188.25
39.875			-4178.56
39.75			-4170.14
39.625			-4162.33
39.5			-4153.06
39.375			-4146.33
39.25			-4135.56
39.125			-4127.22
39			-4117.53
38.875			-4108.28
38.75			-4101.03
38.625			-4091.03
38.5			-4086.03
38.375			-4076.47
38.25			-4069.83
38.125			-4060.44
38			-4052.72
37.875			-4043.19
37.75			-4034.36
37.625			-4025.81
37.5			-4016.81
37.375			-4009.97
37.25			-3999.31
37.125			-3986.81
37			-3979.42
36.875			-3970.56
36.75			-3963.17
36.625			-3952.78
36.5			-3945.39
36.375			-3932.22
36.25			-3924.67
36.125			-3913.67
36			-3904.42
35.875			-3894.08
35.75			-3884.86
35.625			-3876.64
35.5			-3866.22
35.375			-3856.92
35.25			-3845.86
35.125			-3838.03
35			-3827.69
34.875			-3818.08
34.75			-3807.83
34.625			-3794.78
34.5			-3783.72
34.375			-3774.67
34.25			-3767.44
34.125			-3759.44
34			-3748.89
33.875			-3739.89
33.75			-3729.67
33.625			-3721.19
33.5			-3708.17
33.375			-3697.86
33.25			-3690.69
33.125			-3677.47
33			-3668.61
32.875			-3656.44
32.75			-3647.47
32.625			-3637.19
32.5			-3624.53
32.375			-3615.64
32.25			-3603.61
32.125			-3594.53
32			-3581.69
31.875			-3572.19
31.75			-3560.78
31.625			-3553.94
31.5			-3543.81
31.375			-3530.19
31.25			-3517.83
31.125			-3506.58
31			-3497.69
30.875			-3490.39
30.75			-3480.08
30.625			-3468.75
30.5			-3456.67
30.375			-3448.22
30.25			-3439.94
30.125			-3428.25
30			-3416.31
29.875			-3406.89
29.75			-3396.67
29.625			-3387.86
29.5			-3377.08
29.375			-3367.89
29.25			-3354.94
29.125			-3344.58
29			-3335.83
28.875			-3325.72
28.75			-3312.89
28.625			-3305.64
28.5			-3294.03
28.375			-3285.06
28.25			-3272.78
28.125			-3263.44
28			-3254.53
27.875			-3244.17
27.75			-3235.58
27.625			-3226.78
27.5			-3214.58
27.375			-3205.67
27.25			-3194.22
27.125			-3185.61
27			-3175.11
26.875			-3167.08
26.75			-3156.72
26.625			-3148.94
26.5			-3134.67
26.375			-3125.97
26.25			-3115.42
26.125			-3110.56
26			-3101.19
25.875			-3091.69
25.75			-3079.69
25.625			-3072.03
25.5			-3058.86
25.375			-3048.42
25.25			-3037.42
25.125			-3029.56
25			-3023.36
24.875			-3013.17
24.75			-3003.14
24.625			-2995.36
24.5			-2987.08
24.375			-2976.78
24.25			-2964.22
24.125			-2960.31
24			-2955.94
23.875			-2948.17
23.75			-2939.69
23.625			-2931.64
23.5			-2922.61
23.375			-2914.5
23.25			-2909.06
23.125			-2899.97
23			-2888.78
22.875			-2881.92
22.75			-2874.89
22.625			-2868.44
22.5			-2858.11
22.375			-2848.5
22.25			-2837.67
22.125			-2833.72
22			-2825.39
21.875			-2818.06
21.75			-2808.08
21.625			-2797.03
21.5			-2789.69
21.375			-2782.97
21.25			-2774.64
21.125			-2766.08
21			-2757.31
20.875			-2750.11
20.75			-2741.75
20.625			-2734.78
20.5			-2728.72
20.375			-2716.92
20.25			-2709.14
20.125			-2699.53
20			-2686.11
19.875			-2676.58
19.75			-2669.31
19.625			-2659.47
19.5			-2649.42
19.375			-2644.83
19.25			-2637.14
19.125			-2633.97
19			-2627.92
18.875			-2618.44
18.75			-2610.89
18.625			-2604.11
18.5			-2595.06
18.375			-2588.69
18.25			-2577.31
18.125			-2573.92
18			-2561.92
17.875			-2554.75
17.75			-2543.89
17.625			-2538.33
17.5			-2525.28
17.375			-2518.5
17.25			-2510.14
17.125			-2505.92
17			-2494.28
16.875			-2482.83
16.75			-2477.39
16.625			-2470.58
16.5			-2460.89
16.375			-2448.5
16.25			-2444
16.125			-2436.69
16			-2425.11
15.875			-2417.19
15.75			-2410.78
15.625			-2405.47
15.5			-2394.44
15.375			-2385.92
15.25			-2374.25
15.125			-2366.56
15			-2360.03
14.875			-2349.44
14.75			-2343.33
14.625			-2332.94
14.5			-2323.19
14.375			-2316.06
14.25			-2310.61
14.125			-2300.69
14			-2292.78
13.875			-2278.39
13.75			-2272.89
13.625			-2261.19
13.5			-2252.14
13.375			-2240.94
13.25			-2234.31
13.125			-2224.67
13			-2214.03
12.875			-2200.69
12.75			-2194.78
12.625			-2178.36
12.5			-2165.97
12.375			-2160.25
12.25			-2150.81
12.125			-2139.19
12			-2127.28
11.875			-2111.36
11.75			-2103.28
11.625			-2094.81
11.5			-2085.03
11.375			-2070.03
11.25			-2059.64
11.125			-2045.89
11			-2034.22
10.875			-2021.44
10.75			-2011.75
10.625			-1992.11
10.5			-1979.75
10.375			-1966.39
10.25			-1955
10.125			-1943.5
10			-1927.22
9.875			-1915.72
9.75			-1902.58
9.625			-1889.25
9.5			-1873.31
9.375			-1857.67
9.25			-1842.89
9.125			-1829.61
9			-1815.19
8.875			-1806.39
8.75			-1790.17
8.625			-1777.33
8.5			-1762.33
8.375			-1749.86
8.25			-1733
8.125			-1721.25
8			-1702.61
7.875			-1690.25
7.75			-1674.92
7.625			-1655.25
7.5			-1637.81
7.375			-1620.92
7.25			-1602.89
7.125			-1583.69
7			-1566.11
6.875			-1547.31
6.75			-1527.56
6.625			-1508.44
6.5			-1485.19
6.375			-1466.08
6.25			-1444.86
6.125			-1423.5
6			-1400.53
5.875			-1375.64
5.75			-1356.61
5.625			-1331.97
5.5			-1310.69
5.375			-1288.03
5.25			-1264.22
5.125			-1239.64
5			-1212.64
4.875			-1187.94
4.75			-1163.08
4.625			-1128.75
4.5			-1099.58
4.375			-1070.56
4.25			-1041.44
4.125			-1009.25
4			-979
3.875			-944.528
3.75			-916.611
3.625			-879.917
3.5			-846.417
3.375			-815.25
3.25			-780.778
3.125			-749.194
3			-710.417
2.875			-676.833
2.75			-639.583
2.625			-606.222
2.5			-571.528
2.375			-536.111
2.25			-499.389
2.125			-458.111
2			-423.778
1.875			-385
1.75			-351.694
1.625			-311.694
1.5			-272.694
1.375			-235.278
1.25			-198.417
1.125			-157.583
1			-118.222
0.875			-79.3333
0.75			-44.4167
0.625			-1.88889
0.5			35.7222
0.375			81.9167
0.25			115.694
0.125			161.278
0			196.167
-0.125			237.694
-0.25			278.806
-0.375			326.528
-0.5			361.806
-0.625			402.528
-0.75			440.806
-0.875			483.667
-1			525.111
-1.125			568.444
-1.25			604.194
-1.375			643.806
-1.5			684.944
-1.625			729.583
-1.75			772.444
-1.875			816.139
-2			852.222
-2.125			894.167
-2.25			937.111
-2.375			979.917
-2.5			1022.39
-2.625			1061.42
-2.75			1101.94
-2.875			1145.47
-3			1188.81
-3			1208.53
-2.875			1175.22
-2.75			1126.25
-2.625			1085.36
-2.5			1041.03
-2.375			1003.69
-2.25			960.861
-2.125			914.833
-2			867.972
-1.875			826.917
-1.75			781.167
-1.625			743.333
-1.5			692.528
-1.375			650.917
-1.25			600.833
-1.125			561.556
-1			514.778
-0.875			471.028
