X kHz			Y a.u.
57.4844			16.8459
57.6797			16.798
57.875			16.816
58.0703			16.831
58.2656			16.7865
58.4609			16.7739
58.6562			16.7488
58.8516			16.7507
59.0469			16.7282
59.2422			16.7175
59.4375			16.716
59.6328			16.697
59.8281			16.7275
60.0234			16.7207
60.2188			16.7146
60.4141			16.7032
60.6094			16.6917
60.8047			16.7059
61			16.6944
61.1953			16.6942
61.3906			16.7273
61.5859			16.7325
61.7812			16.7746
61.9766			16.739
62.1719			16.7795
62.3672			16.8454
62.5625			16.8772
62.7578			16.9859
62.9531			17.0215
63.1484			17.0743
63.3438			17.2264
63.5391			17.2939
63.7344			17.4799
63.9297			17.6823
64.125			17.7457
64.3203			17.5271
64.5156			16.955
64.7109			16.8076
64.9062			17.6788
65.1016			17.6581
65.2969			17.4782
65.4922			17.2947
65.6875			17.1958
65.8828			17.1009
66.0781			17.1266
66.2734			17.1998
66.4688			17.4241
66.6641			17.9998
66.8594			19.1371
67.0547			21.9584
67.25			29.6498
67.4453			38.1507
67.6406			27.5465
67.8359			21.0145
68.0312			18.4996
68.2266			17.2834
68.4219			16.7292
68.6172			16.376
68.8125			16.1725
69.0078			15.9891
69.2031			15.878
69.3984			15.7969
69.5938			15.7429
69.7891			15.6857
69.9844			15.6457
70.1797			15.6229
70.375			15.5645
70.5703			15.5466
70.7656			15.5025
70.9609			15.4801
71.1562			15.4482
71.3516			15.426
71.5469			15.4225
71.7422			15.3941
71.9375			15.4054
72.1328			15.3567
72.3281			15.344
72.5234			15.3695
72.7188			15.2948
72.9141			15.3177
73.1094			15.2656
73.3047			15.26
73.5			15.2306
73.6953			15.2313
73.8906			15.1813
74.0859			15.1538
74.2812			15.1719
74.4766			15.1548
74.6719			15.1169
74.8672			15.0652
75.0625			15.0803
75.2578			15.0839
75.4531			15.0405
75.6484			15.0642
75.8438			15.0089
76.0391			14.9968
76.2344			14.9642
76.4297			14.9857
76.625			14.9047
76.8203			14.9134
77.0156			14.9311
77.2109			14.89
