X kHz			Y a.u.
72.2549			5.70371
72.2305			5.70385
72.2061			5.70399
72.1816			5.70414
72.1572			5.70428
72.1328			5.70443
72.1084			5.70458
72.084			5.70474
72.0596			5.70489
72.0352			5.70505
72.0107			5.70521
71.9863			5.70538
71.9619			5.70554
71.9375			5.70571
71.9131			5.70588
71.8887			5.70606
71.8643			5.70624
71.8398			5.70642
71.8154			5.7066
71.791			5.70679
71.7666			5.70698
71.7422			5.70717
71.7178			5.70737
71.6934			5.70757
71.6689			5.70777
71.6445			5.70798
71.6201			5.70819
71.5957			5.7084
71.5713			5.70862
71.5469			5.70884
71.5225			5.70907
71.498			5.7093
71.4736			5.70953
71.4492			5.70977
71.4248			5.71001
71.4004			5.71026
71.376			5.71051
71.3516			5.71077
71.3271			5.71103
71.3027			5.7113
71.2783			5.71157
71.2539			5.71185
71.2295			5.71213
71.2051			5.71242
71.1807			5.71271
71.1562			5.71301
71.1318			5.71332
71.1074			5.71363
71.083			5.71395
71.0586			5.71427
71.0342			5.7146
71.0098			5.71494
70.9854			5.71529
70.9609			5.71564
70.9365			5.716
70.9121			5.71636
70.8877			5.71674
70.8633			5.71712
70.8389			5.71751
70.8145			5.71791
70.79			5.71832
70.7656			5.71874
70.7412			5.71916
70.7168			5.7196
70.6924			5.72005
70.668			5.7205
70.6436			5.72097
70.6191			5.72145
70.5947			5.72193
70.5703			5.72243
70.5459			5.72295
70.5215			5.72347
70.4971			5.72401
70.4727			5.72455
70.4482			5.72512
70.4238			5.72569
70.3994			5.72628
70.375			5.72689
70.3506			5.72751
70.3262			5.72814
70.3018			5.7288
70.2773			5.72947
70.2529			5.73015
70.2285			5.73086
70.2041			5.73158
70.1797			5.73232
70.1553			5.73308
70.1309			5.73387
70.1064			5.73467
70.082			5.7355
70.0576			5.73635
70.0332			5.73722
70.0088			5.73812
69.9844			5.73904
69.96			5.73999
69.9355			5.74097
69.9111			5.74197
69.8867			5.74301
69.8623			5.74408
69.8379			5.74518
69.8135			5.74631
69.7891			5.74748
69.7646			5.74869
69.7402			5.74993
69.7158			5.75121
69.6914			5.75254
69.667			5.7539
69.6426			5.75532
69.6182			5.75677
69.5938			5.75828
69.5693			5.75984
69.5449			5.76146
69.5205			5.76312
69.4961			5.76485
69.4717			5.76664
69.4473			5.76849
69.4229			5.77042
69.3984			5.77241
69.374			5.77447
69.3496			5.77662
69.3252			5.77884
69.3008			5.78116
69.2764			5.78356
69.252			5.78606
69.2275			5.78865
69.2031			5.79136
69.1787			5.79417
69.1543			5.79711
69.1299			5.80016
69.1055			5.80335
69.0811			5.80668
69.0566			5.81015
69.0322			5.81379
69.0078			5.81758
68.9834			5.82155
68.959			5.82571
68.9346			5.83006
68.9102			5.83463
68.8857			5.83942
68.8613			5.84445
68.8369			5.84973
68.8125			5.85529
68.7881			5.86113
68.7637			5.86729
68.7393			5.87379
68.7148			5.88064
68.6904			5.88787
68.666			5.89552
68.6416			5.90361
68.6172			5.91218
68.5928			5.92128
68.5684			5.93093
68.5439			5.94119
68.5195			5.9521
68.4951			5.96373
68.4707			5.97614
68.4463			5.98939
68.4219			6.00357
68.3975			6.01876
68.373			6.03505
68.3486			6.05256
68.3242			6.07141
68.2998			6.09173
68.2754			6.11367
68.251			6.13742
68.2266			6.16316
68.2021			6.19112
68.1777			6.22157
68.1533			6.25478
68.1289			6.2911
68.1045			6.33092
68.0801			6.37467
68.0557			6.42289
68.0312			6.47616
68.0068			6.5352
67.9824			6.60081
67.958			6.67398
67.9336			6.75583
67.9092			6.84772
67.8848			6.95123
67.8604			7.06829
67.8359			7.20115
67.8115			7.35253
67.7871			7.5257
67.7627			7.72453
67.7383			7.95368
67.7139			8.21863
67.6895			8.5258
67.665			8.8825
67.6406			9.29674
67.6162			9.77651
67.5918			10.3284
67.5674			10.9547
67.543			11.6484
67.5186			12.3858
67.4941			13.1169
67.4697			13.7603
67.4453			14.2123
67.4209			14.3794
67.3965			14.2223
67.3721			13.7785
67.3477			13.1408
67.3232			12.4131
67.2988			11.6772
67.2744			10.9838
67.25			10.3571
67.2256			9.80437
67.2012			9.32361
67.1768			8.90831
67.1523			8.55053
67.1279			8.24232
67.1035			7.97638
67.0791			7.74629
67.0547			7.54657
67.0303			7.37256
67.0059			7.22039
66.9814			7.0868
66.957			6.96905
66.9326			6.86489
66.9082			6.7724
66.8838			6.68997
66.8594			6.61627
66.835			6.55014
66.8105			6.49063
66.7861			6.43691
66.7617			6.38827
66.7373			6.34411
66.7129			6.30391
66.6885			6.26723
66.6641			6.23367
66.6396			6.2029
66.6152			6.17463
66.5908			6.14859
66.5664			6.12456
66.542			6.10235
66.5176			6.08178
66.4932			6.06269
66.4688			6.04494
66.4443			6.02842
66.4199			6.01302
66.3955			5.99864
66.3711			5.98519
66.3467			5.97259
66.3223			5.96078
66.2979			5.94969
66.2734			5.93926
66.249			5.92945
66.2246			5.9202
66.2002			5.91148
66.1758			5.90324
66.1514			5.89545
66.127			5.88808
66.1025			5.8811
66.0781			5.87448
66.0537			5.8682
66.0293			5.86224
66.0049			5.85657
65.9805			5.85118
65.9561			5.84604
65.9316			5.84115
65.9072			5.83648
65.8828			5.83203
65.8584			5.82778
65.834			5.82371
65.8096			5.81983
65.7852			5.81611
65.7607			5.81255
65.7363			5.80914
